label,count,range,m_weights,weight_range,weight_ratio
part of,1046,1000+,0.776548247206853,0.7-0.9,0.14001475911402636
partially coincident with,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
participant of,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
participant,82,50-99,0.9824827497810343,0.95-0.99,0.17714557471357562
participating team,103,100-199,0.9779966247249579,0.95-0.99,0.17633670839864768
patron saint,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
payload mass,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
performer,104,100-199,0.9777829997222875,0.95-0.99,0.1762981909550797
periapsis,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
perimeter,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
physically interacts with,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
place of birth,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
place of burial,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
place of death,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
place of publication,79,50-99,0.9831236247890454,0.95-0.99,0.17726112704427963
place served by transport hub,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
platform,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
point in time,530,500-999,0.8867787485847344,0.7-0.9,0.1598897599951129
points classification,85,50-99,0.9818418747730234,0.95-0.99,0.17703002238287163
points goal scored by,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
pole position,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
political ideology,33,20-49,0.9929503749118797,0.99-1.0,0.17903292944840749
population,583,500-999,0.8754566234432078,0.7-0.9,0.15784833548600907
port of registry,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
position held,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
positive prognostic predictor,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
power consumed,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
powered by,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
PPP GDP per capita,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
practiced by,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
pregnancy category,16,10-19,0.996581999957275,0.99-1.0,0.17968772598906346
present in work,64,50-99,0.9863279998291,0.95-0.99,0.17783888869779957
presenter,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
primary destinations,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
prime factor,40,20-49,0.9914549998931875,0.99-1.0,0.17876330734343152
prize money,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
producer,32,20-49,0.99316399991455,0.99-1.0,0.17907144689197546
product or material produced,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
production company,53,50-99,0.9886778748584735,0.95-0.99,0.17826258057704755
production designer,23,20-49,0.9950866249385828,0.99-1.0,0.17941810388408744
programming language,40,20-49,0.9914549998931875,0.99-1.0,0.17876330734343152
proper motion,112,100-199,0.976073999700925,0.95-0.99,0.1759900514065357
property constraint,62,50-99,0.9867552498344406,0.95-0.99,0.17791592358493558
public holiday,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
publication date,277,200-499,0.9408258742603234,0.9-0.95,0.16963467321781617
publication interval,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
published in,57,50-99,0.9878233748477921,0.95-0.99,0.17810851080277557
publisher,132,100-199,0.9718014996475187,0.95-0.99,0.17521970253517577
qualifies for event,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
radial velocity,200,200-499,0.9572749994659375,0.95-0.99,0.17260051637255197
railway traffic side,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
ranking,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
real gross domestic product growth rate,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
record label,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
recorded at,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
recording or performance of,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
redshift,38,20-49,0.9918822498985281,0.99-1.0,0.1788403422305675
referee,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
relative,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
religion,31,20-49,0.9933776249172203,0.99-1.0,0.17910996433554346
religious order,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
replaced by,29,20-49,0.993804874922561,0.99-1.0,0.17918699922267947
replaces,98,50-99,0.9790647497383094,0.95-0.99,0.17652929561648767
reservoir created,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
right ascension,150,100-199,0.9679562495994531,0.95-0.99,0.17452638855095182
rotation period,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
RTC film rating,16,10-19,0.996581999957275,0.99-1.0,0.17968772598906346
rural population,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
said to be the same as,28,20-49,0.9940184999252313,0.99-1.0,0.17922551666624748
school district,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
screenwriter,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
season of club or team,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
season starts,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
see also,50,50-99,0.9893187498664844,0.95-0.99,0.17837813290775154
semi-major axis of an orbit,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
service entry,73,50-99,0.9844053748050672,0.95-0.99,0.1774922317056876
service retirement,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
sex or gender,74,50-99,0.9841917498023969,0.95-0.99,0.1774537142621196
shares border with,503,500-999,0.8925466236568328,0.7-0.9,0.16092973097144883
short name,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
sibling,21,20-49,0.9955138749439234,0.99-1.0,0.17949513877122344
significant drug interaction,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
significant environmental impact,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
significant event,100,100-199,0.9786374997329688,0.95-0.99,0.1764522607293517
significant person,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
significant place,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
site of astronomical discovery,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
slope rating,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
source of energy,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
space launch vehicle,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
speaker,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
speed,52,50-99,0.9888914998611438,0.95-0.99,0.17830109802061553
spin quantum number,95,50-99,0.9797056247463203,0.95-0.99,0.17664484794719168
sponsor,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
sport,713,500-999,0.8476853730960671,0.7-0.9,0.1528410678221694
sports season of league or competition,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
spouse,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
stage classification,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
start point,77,50-99,0.983550874794386,0.95-0.99,0.17733816193141563
start time,183,100-199,0.9609066245113328,0.95-0.99,0.17325531291320792
statistical leader,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
stellar rotational velocity,55,50-99,0.9882506248531329,0.95-0.99,0.17818554568991157
stock exchange,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
storyboard artist,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
stroke count,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
stroke,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
structural engineer,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
student of,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
students count,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
subclass of,227,200-499,0.9515071243938391,0.95-0.99,0.17156054539621604
subject has role,32,20-49,0.99316399991455,0.99-1.0,0.17907144689197546
subject item of this property,58,50-99,0.9876097498451218,0.95-0.99,0.17806999335920756
subsidiary,45,20-49,0.9903868748798359,0.99-1.0,0.17857072012559153
subtitle,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
successful candidate,72,50-99,0.9846189998077375,0.95-0.99,0.1775307491492556
suicide rate,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
superhuman feature or ability,33,20-49,0.9929503749118797,0.99-1.0,0.17903292944840749
surface gravity,61,50-99,0.9869688748371109,0.95-0.99,0.17795444102850355
surface played on,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
symptoms,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
takes place in fictional universe,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
target,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
taxa especially protected in area,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
taxon common name,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
taxon rank,22,20-49,0.9953002499412531,0.99-1.0,0.17945662132765544
teams classification by points,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
teams classification by time,38,20-49,0.9918822498985281,0.99-1.0,0.1788403422305675
terminus location,28,20-49,0.9940184999252313,0.99-1.0,0.17922551666624748
terminus,32,20-49,0.99316399991455,0.99-1.0,0.17907144689197546
territory claimed by,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
territory overlaps,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
time of discovery or invention,62,50-99,0.9867552498344406,0.95-0.99,0.17791592358493558
time of earliest written record,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
time of spacecraft landing,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
time of spacecraft orbit decay,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
time period of periodically occurring event,39,20-49,0.9916686248958578,0.99-1.0,0.17880182478699952
time period,57,50-99,0.9878233748477921,0.95-0.99,0.17810851080277557
time-weighted average exposure limit,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
title,262,200-499,0.9440302493003782,0.9-0.95,0.17021243487133617
tonality,16,10-19,0.996581999957275,0.99-1.0,0.17968772598906346
top-level Internet domain,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
topic's main template,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
topic's main Wikimedia portal,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
topographic prominence,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
total fertility rate,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
total produced,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
total reserves,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
total revenue,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
track gauge,33,20-49,0.9929503749118797,0.99-1.0,0.17903292944840749
tracklist,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
translator,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
tributary,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
tussenvoegsel,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
twinned administrative body,108,100-199,0.9769284997116062,0.95-0.99,0.1761441211808077
type of orbit,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
type of variable star,89,50-99,0.9809873747623422,0.95-0.99,0.17687595260859965
type of water supply,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
unemployment rate,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
units sold,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
unmarried partner,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
urban population,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
use,34,20-49,0.9927367499092093,0.99-1.0,0.1789944120048395
uses,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
UTC date of spacecraft launch,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
VAT-rate,22,20-49,0.9953002499412531,0.99-1.0,0.17945662132765544
vehicle normally used,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
vehicle,36,20-49,0.9923094999038687,0.99-1.0,0.1789173771177035
vertical depth,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
victory,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
voice actor,69,50-99,0.9852598748157484,0.95-0.99,0.17764630147995958
volume as quantity,38,20-49,0.9918822498985281,0.99-1.0,0.1788403422305675
votes received,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
Vox-ATypI classification,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
water as percent of area,53,50-99,0.9886778748584735,0.95-0.99,0.17826258057704755
watershed area,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
wavelength,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
wears,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
wheel arrangement,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
wheelbase,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
wheelchair accessibility,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
Wi-Fi access,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
width,89,50-99,0.9809873747623422,0.95-0.99,0.17687595260859965
Wikidata property example,70,50-99,0.9850462498130781,0.95-0.99,0.17760778403639157
Wikidata property,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
Wikimedia outline,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
winner,253,200-499,0.9459528743244109,0.9-0.95,0.17055909186344811
World Health Organisation International Nonproprietary Name,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
World Heritage criteria,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
writing system,67,50-99,0.9856871248210891,0.95-0.99,0.1777233363670956
young rider classification,22,20-49,0.9953002499412531,0.99-1.0,0.17945662132765544
